Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000/06/05,1090872
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015/03/23,6201
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015/07/09,1158449
AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982/11/30,320193
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012/12/31,1551152
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001/08/30,1140859
ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018/05/31,815094
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964/03/31,1800
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011/07/06,1467373
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",1997/05/05,796343
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",1999/10/12,6281
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981/07/29,7084
ADP,Automatic Data Processing,reports,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",1981/03/31,8670
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",2013/12/23,1101215
ADSK,Autodesk Inc.,reports,Information Technology,Application Software,"San Rafael, California",1989/12/01,769397
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",1991/09/19,1002910
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998/10/02,874761
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",1999/05/28,4977
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York, New York",1980/03/31,5272
AIV,Apartment Investment & Management,reports,Real Estate,Residential REITs,"Denver, Colorado",2003/03/14,922864
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York, New York",2007/04/10,1267238
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",2016/05/31,354190
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007/07/12,1086222
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016/07/01,915913
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",2017/06/19,1097149
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,"Seattle, Washington",2016/05/13,766421
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995/07/13,899051
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",2013/12/02,1579241
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,"Boston, Massachusetts",2012/05/25,899866
AMAT,Applied Materials Inc.,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995/03/16,6951
AMCR,Amcor plc,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019/06/07,1748790
AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,"Santa Clara, California",2017/03/20,2488
AME,AMETEK Inc.,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013/09/23,1037868
AMGN,Amgen Inc.,reports,Health Care,Biotechnology,"Thousand Oaks, California",1992/01/02,318154
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005/10/03,820027
AMT,American Tower Corp.,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2007/11/19,1053507
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005/11/18,1018724
ANET,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",2018/08/28,1596532
ANSS,ANSYS,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017/06/19,1013462
ANTM,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",2002/07/25,1156039
AON,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",1996/04/23,315293
AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",2017/07/26,91142
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997/07/28,6769
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",1985/04/30,2969
APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",2008/09/30,820313
APTV,Aptiv PLC,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",2012/12/24,1521332
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",2017/03/20,1035443
ARNC,Arconic Inc.,reports,Industrials,Aerospace & Defense,"New York, New York",1964/03/31,4281
ATO,Atmos Energy Corp,reports,Utilities,Gas Utilities,"Dallas, Texas",2019/02/15,731802
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015/08/31,718877
AVB,"AvalonBay Communities, Inc.",reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",2007/01/10,915912
AVGO,Broadcom Inc.,reports,Information Technology,Semiconductors,"San Jose, California",2014/05/08,1730168
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,"Glendale, California",1987/12/31,8818
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,"Camden, New Jersey",2016/03/04,1410636
AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",1976/06/30,4962
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997/01/02,866787
BA,Boeing Company,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927
BAC,Bank of America Corp,reports,Financials,Diversified Banks,"Charlotte, North Carolina",1976/06/30,70858
BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",1972/09/30,10456
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999/06/29,764478
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972/09/30,10795
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777
BF.B,Brown-Forman Corp.,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982/10/31,14693
BIIB,Biogen Inc.,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2003/11/13,875045
BK,The Bank of New York Mellon Corp.,reports,Financials,Asset Management & Custody Banks,"New York, New York",1995/03/31,1390777
BKNG,Booking Holdings Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009/11/06,1075531
BKR,Baker Hughes Co,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017/07/07,1701605
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York, New York",2011/04/04,1364742
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984/10/31,9389
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,"New York, New York",,14272
BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018/06/18,1383312
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010/02/16,1067983
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",1995/02/24,885725
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011/12/19,908255
BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",2006/04/03,1037540
C,Citigroup Inc.,reports,Financials,Diversified Banks,"New York, New York",1988/05/31,831001
